sID,sourceDocumentName,sourceOnlineResourceLinkageURL,sourceOnlineResourceProtocol,sourceOnlineResourceApplicationProfile,sourceOnlineResourceName,sourceOnlineResourceDescription,sourceOnlineResourceFunction,sourceRegistryNumber,sourceAdministrativeDateStamp,sourceAuthoritativeDate,sourceDocumentType,sourceAvailabilityStatus,administrativeSourceType,spatialSourceType,sourceType,sourceRecordation,responsiblePartyContactOnline,responsiblePartyOnlineProtocol,responsiblePartyOnlineApplicationProfile,responsiblePartyOnlineContactName,responsiblePartyOnlineDescription,responsiblePartyOganizationName,responsiblePartyPositionName,responsiblePartyContactPhone,responsiblePartyRole,responsiblePartyContactAddressCountry,responsiblePartyContactAddressDeliveryPoint,responsiblePartyContactAddressCity,responsiblePartyContactElectronicMailAddress,responsiblePartyContactAddressAdministrativeArea,responsiblePartyContactAddressPostalCode
IDN_MYS_THA_1972,"Keputusan Presiden (Keppres) Nomor 20 Tahun 1972 tentang Pengesahan Persetujuan Pemerintah Republik Indonesia, Pemerintah Malaysia dan Pemerintah Kerajaan Thailand Tentang Penetapan Garis-Garis Batas Landas-Kontingen di Bagian Utara Selat Malaka",https://peraturan.bpk.go.id/Details/78187/keppres-no-20-tahun-1972,HTTPS,"HTML, PDF",Kep.Pres No. 20 Tahun 1972,"Ratification of the trilateral agreement between Indonesia, Malaysia, and Thailand concerning the delimitation of the continental shelf boundaries in the northern part of the Malacca Strait. All information is presented in accordance with the availability of verifiable sources.","information, download",Keppres No. 20 Tahun 1972,2026-04-24,1972-03-11,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1972-03-11,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_IDN_MYS_THA_1971,"Agreement between the Government of the Republic of Indonesia, The Government of Malaysia and the Government of the Kingdom of Thailand Relating to the Delimitation of the Continental Shelf Boundaries in the Northern Part of the Strait of Malacca",https://maritimeindex.org/wp-content/uploads/2022/01/ENG_Agreement-IDN-Mly-Thl-CSB-NorthSoM.pdf,HTTPS,"HTML, PDF",ENG_Agreement-IDN-Mly-Thl-CSB-NorthSoM,"Trilateral agreement between Indonesia, Malaysia, and Thailand concerning the delimitation of the continental shelf boundaries in the northern part of the Malacca Strait. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.","information, download",Agreement Indonesia-Malaysia-Thailand for Delimitation Continental Shelf Boundaries in Northen Part Strait of Malacca 1971,2026-04-24,,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,,https://maritimeindex.org,HTTPS,HTML,Asian Maritime Index,information,Asian Maritime Index,Data provider,,Distributor,International,"Maritime Security Lab, Tokyo International University Room 1706, 4-42-31 Higashi-Ikebukuro, Toshima Ward",Tokyo,,Tokyo,170-0013
IDN_THA_1972,Keputusan Presiden (Keppres) Nomor 21 Tahun 1972 tentang Pengesahan Persetujuan Pemerintah Republik Indonesia dan Pemerintah Kerajaan Thailand Tentang Penetapan Garis-Garis Batas Landas-Kontingen Antara Kedua Negara di Bagian Utara Selat Malaka dan di Laut Andaman,https://peraturan.bpk.go.id/Details/78189/keppres-no-21-tahun-1972,HTTPS,"HTML, PDF",Keppres No. 21 Tahun 1972,Ratification of the bilateral agreement between Indonesia and Thailand regarding the delimitation of the continental shelf boundaries in the northern part of the Malacca Strait and the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres No. 21 Tahun 1972,2026-04-24,1972-03-11,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1972-03-11,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_THA_CS_1971,Agreement between the Government of the Kingdom of Thailand and the Government of the Republic of Indonesia relating to the Delimitation of a Continental Shelf Boundary between the two Countries in the Northern Part of the Straits of Malacca and in the Andaman Sea 17 December 1971,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/THA-IDN1971CS.PDF,HTTPS,"HTML, PDF",THA-IDN1971CS,Bilateral agreement between Indonesia and Thailand regarding the delimitation of the continental shelf boundaries in the northern part of the Malacca Strait and the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.,"information, download",16929,2026-04-24,1973-04-07,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,1978-09-08,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
IDN_THA_1977,"Keputusan Presiden (Keppres) Nomor 1 Tahun 1977 tentang Mengesahkan ""Persetujuan Antara Pemerintah Republik Indonesia dan Pemerintah Kerajaan Thailand Tentang Penetapan Garis Batas Dasar Laut Antara Kedua Negara di Laut Andaman”",http://peraturan.bpk.go.id/Details/78691/keppres-no-1-tahun-1977,HTTPS,"HTML, PDF",Keppres No. 1 Tahun 1977,Ratification of the bilateral agreement between Indonesia and Thailand concerning the delimitation of the seabed boundaries in the Andaman Sea into national law. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres No. 1 Tahun 1977,2026-04-24,1977-01-11,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1977-01-11,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_THA_CS_1975,Agreement between the Government of the Kingdom of Thailand and the Government of the Republic of Indonesia relating to the Delimitation of the Seabed Boundary between the two Countries in the Andaman Sea 11 December 1975,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/THA-IDN1975SB.PDF,HTTPS,"HTML, PDF",THA-IDN1975SB,Bilateral agreement between Indonesia and Thailand concerning the delimitation of the seabed boundaries in the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.,"information, download",16930,2026-04-24,1978-02-18,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,1978-09-08,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
IDN_IND_1974,Keputusan Presiden (Keppres) Nomor 51 Tahun 1974 tentang Pengesahan Persetujuan Antara Pemerintah Republik Indonesia dan Pemerintah Republik India Tentang Penetapan Garis Batas Landas Kontinen Antara Kedua Negara,https://peraturan.bpk.go.id/Details/78483/keppres-no-51-tahun-1974,HTTPS,"HTML, PDF",Keppres No. 51 Tahun 1974,Ratification of the bilateral agreement between Indonesia and India concerning the delimitation of the continental shelf boundary in the Indian Ocean. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres No. 51 Tahun 1974,2026-04-24,1974-09-25,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1974-09-25,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_IND_CS_1974,Agreement Between the Government of the Republic of Indonesia and the Government of the Republic of India Relating to the Delimitation of the Continental Shelf Boundary Between the Two Countries,https://maritimeindex.org/wp-content/uploads/2021/12/INC03F1.pdf,HTTPS,"HTML, PDF",INC03F1,"Bilateral agreement between Indonesia and India concerning the delimitation of the continental shelf boundary in the Indian Ocean. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.","information, download",19474,2026-04-24,1974-12-17,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,1980-12-22,https://maritimeindex.org,HTTPS,HTML,Asian Maritime Index,information,Asian Maritime Index,Data provider,,Distributor,International,"Maritime Security Lab, Tokyo International University Room 1706, 4-42-31 Higashi-Ikebukuro, Toshima Ward",Tokyo,,Tokyo,170-0013
IDN_IND_1977,"Keputusan Presiden (Keppres) Nomor 26 Tahun 1977 tentang Mengesahkan ""Persetujuan Antaran Pemerintah Republik Indonesia dan Pemerintah Republik India Tentang Perpanjangan Garis Batas Landas Kontinen Tahun 1974 di Laut Andaman dan Samudra Hindia” di New Delhi",https://peraturan.bpk.go.id/Details/78734/keppres-no-26-tahun-1977,HTTPS,"HTML, PDF",Keppres No. 26 Tahun 1977,Ratification of the supplementary agreement concerning the extension and affirmation of the Indonesia–India continental shelf boundaries. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres No. 26 Tahun 1977,2026-04-24,1977-04-04,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1977-04-04,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_IND_CS_1977,Agreement between the Government of the Republic of India and the Government of the Republic of Indonesia on the Extension of the 1974 Continental Shelf Boundary between the two Countries in the Andaman Sea and the Indian Ocean,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/IND-IDN1977CS.PDF,HTTPS,"HTML, PDF",IND-IDN1977CS,Supplementary agreement concerning the extension and affirmation of the Indonesia–India continental shelf boundaries. All information is presented in accordance with the availability of verifiable sources.,"information, download",19475,2026-04-24,1980-12-22,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,1980-12-22,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
IDN_TRI_1978,"Keputusan Presiden (Keppres) Nomor 24 Tahun 1978 tentang Mengesahkan ""Persetujuan Antara Pemerintah Republik Indonesia, Pemerintah Republik India dan Pemerintah Kerajaan Thailand Tentang Penetapan Titik Pertemuan Tiga Garis Batas dan Penetapan Garis Batas Ketiga Negara di Laut Andaman"" yang Telah ditandatangani di New Delhi, Pada Tanggal 22 Juni 1978, Sebagaimana Terlampir Pada Keputusan Presiden Ini",https://peraturan.bpk.go.id/Details/78912/keppres-no-24-tahun-1978,HTTPS,"HTML, PDF",Keppres No. 24 Tahun 1978,"Ratification of the trilateral agreement concerning the trijunction point and the delimitation of the continental shelf boundaries between Indonesia, India, and Thailand in the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.","information, download",Keppres No. 24 Tahun 1978,2026-04-24,1978-08-18,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1978-08-16,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_TRI_1978,"Agreement between the Government of the Kingdom of Thailand, the Government of the Republic of India and the Government of the Republic of Indonesia concerning the DetermIDNtion of the Trijunction Point and the Delimitation of the Related Boundaries of the three Countries in the Andaman Sea",https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/THA-IND-IDN1978TP.PDF,HTTPS,"HTML, PDF",THA-IND-IDN1978TP,"Trilateral Agreement on the trijunction point and the continental shelf boundaries of Indonesia, India, and Thailand in the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.","information, download",Agreement Indonesia-Thailand-India for Related Boundaries of the Three Countries in the Andaman Sea 1978,2026-04-24,1979-03-02,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,1980-12-22,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
IDN_VNM_2007,"Undang-undang (UU) Nomor 18 Tahun 2007 tentang Pengesahan Persetujuan antara Pemerintah Republik Indonesia dan Pemerintah Republik Sosialis Vietnam tentang Penetapan Batas Landas Kontinen, 2003 (Agreement Between The Government of The Republic of Indonesia and The Government of The Socialist Republic of Vietnam Concerning The Delimitationof The Continental Shelf Boundary, 2003)",https://peraturan.bpk.go.id/Details/39832/uu-no-18-tahun-2007,HTTPS,"HTML, PDF",UU No. 18 Tahun 2007,Ratification of the bilateral agreement between Indonesia and Vietnam on the delimitation of the continental shelf boundaries in the northern region of the Natuna Islands. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 18 Tahun 2007,2026-04-24,2007-03-15,Law,docAvailable,domesticLegislativeInstrument,,Legislation,2007-03-15,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_VNM_CS_2003,Agreement between the Government of the Socialist Republic of Vietnam and the Government of the Republic of Indonesia concerning the delimitation of the continental shelf boundary,https://treaties.un.org/doc/publication/unts/no%20volume/part/i-44165.pdf,HTTPS,"HTML, PDF",i-44165-pdf,Bilateral agreement between Indonesia and Vietnam on the delimitation of the continental shelf boundaries in the northern region of the Natuna Islands. All information is presented in accordance with the availability of verifiable sources.,"information, download",44165,2026-04-24,2007-05-29,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,2007-08-15,https://treaties.un.org,HTTPS,HTML,United Nation Treaty Collection,information,United Nations,Treaty Section - Office of Legal Affairs,,Custodian,International,2 UN Plaza - 323 E 44th Street Room DC2-0501,New York,treatysection@un.org,New York,10017
IDN_PHL_2014,"Undang-undang (UU) Nomor 4 Tahun 2017 tentang Pengesahan Persetujuan antara Pemerintah Republik Indonesia Dan Pemerintah Republik FilipIDN mengenai Penetapan Batas Zona Ekonomi Eksklusif, 2014 (Agreement Between The Government Of The Republic Of Indonesia and the Government of The Republic of The Philippines Concerning The Delimitation of The Exclusive Economic Zone Boundary, 2014)",https://peraturan.bpk.go.id/Details/37641,HTTPS,"HTML, PDF",UU No. 4 Tahun 2017,Ratification of the bilateral agreement between Indonesia and the Philippines on the delimitation of the Exclusive Economic Zone (EEZ) boundaries. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 4 Tahun 2017,2026-04-24,2017-02-27,Law,docAvailable,domesticLegislativeInstrument,,Legislation,2017-02-27,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_PHL_EEZ_2014,Agreement between the Government of the Republic of Indonesia and the Government of the Republic of the Philippines concerning the delimitation of the exclusive economic zone boundary,https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280562a05&clang=_en,HTTPS,"HTML, PDF",I-55946-0800000280562a05,Bilateral agreement between Indonesia and the Philippines on the delimitation of the Zona Ekonomi Eksklusif (Exclusive Economic Zone/EEZ) boundaries. All information is presented in accordance with the availability of verifiable sources.,"information, download",55946,2026-04-24,2019-08-01,Agreement,docAvailable,internationalAgreement,hydrographicChart,Treaty,2019-09-27,https://treaties.un.org,HTTPS,HTML,United Nation Treaty Collection,information,United Nations,Treaty Section - Office of Legal Affairs,,Custodian,International,2 UN Plaza - 323 E 44th Street Room DC2-0501,New York,treatysection@un.org,New York,10017
IDN_PNG_1980,"Keputusan Presiden (Keppres) Nomor 21 Tahun 1982 tentang Mengesahkan ""Persetujuan Antara Pemerintah Republik Indonesia Dan Pemerintah Papua Nugini Tentang Batas-Batas Maritim Antara Republik Indonesia Dan Papua Nugini Dan Kerjasama Tentang Masalah-Masalah Yang Bersangkutan Sebagai Hasil Perundingan Antara Delegasi Pemerintah Republik Indonesia Dan Delegasi Pemerintah Papua Nugini Yang Telah Ditanda Tangani Di Jakarta Pada Tanggal 13 Desember 1980",https://peraturan.bpk.go.id/Details/65688/keppres-no-21-tahun-1982,HTTPS,"HTML, PDF",Keppres No 21 TH 1982,Ratification of the bilateral agreement between Indonesia and Papua New Guinea on the delimitation of the continental shelf boundaries. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres No. 21 Tahun 1982,2026-04-24,1982-12-13,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1982-12-13,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_PNG_1980,Agreement between Indonesia and Papua New Guinea concerning Maritime Boundaries between the Two Countries and Cooperation on Related Matters,https://maritimeindex.org/wp-content/uploads/2021/12/Indonesia-Papua-New-Guinea-agreement-concerning-the-maritime-boundary-between-the-two-countries-and-cooperation-on-related-matters-Arafura-Sea.pdf,HTTPS,"HTML, PDF",Indonesia-Papua-New-Guinea-agreement-concerning-the-maritime-boundary-between-the-two-countries-and-cooperation-on-related-matters-Arafura-Sea,"Bilateral agreement between Indonesia and Papua New Guinea on the delimitation of the continental shelf boundaries.The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.","information, download",Aggrement Indonesia-Papua New Guinea concerning Maritime Boundaries between the Two Countries and Cooperation on Related Matters (1980),2026-04-24,,Agreement,docAvailable,internationalAgreement,fieldSketch,Treaty,,https://maritimeindex.org,HTTPS,HTML,Asian Maritime Index,information,Asian Maritime Index,Data provider,,Distributor,International,"Maritime Security Lab, Tokyo International University Room 1706, 4-42-31 Higashi-Ikebukuro, Toshima Ward",Tokyo,,Tokyo,170-0013
PP36_2002,Peraturan Pemerintah (PP) Nomor 36 Tahun 2002 tentang Hak Dan Kewajiban Kapal Asing Lintas Damai,https://peraturan.bpk.go.id/Details/52445/pp-no-36-tahun-2002,HTTPS,"HTML, PDF",PP No.36 TH 2002,Peraturan Pemerintah (Government Regulation) regulating the innocent passage regime for foreign vessels in Indonesian waters. All information is presented in accordance with the availability of verifiable sources.,"information, download",PP No. 36 Tahun 2002,2026-04-24,2002-06-28,Government Regulation,docAvailable,domesticLegislativeInstrument,,Legislation,2002-06-28,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
PP37_2002,Peraturan Pemerintah (PP) Nomor 37 Tahun 2002 tentang Hak Dan Kewajiban Hak Lintas Alur Laut Kepulauan (ACSI),https://peraturan.bpk.go.id/Details/52448,HTTPS,"HTML, PDF",PP No.37 TH 2002,Peraturan Pemerintah (Government Regulation) regarding the procedures for Archipelagic Sea Lane Passage (ASLP/ALKI) for foreign ships and aircraft. All information is presented in accordance with the availability of verifiable sources.,"information, download",PP No. 37 Tahun 2002,2026-04-24,2002-06-28,Government Regulation,docAvailable,domesticLegislativeInstrument,,Legislation,2002-06-28,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
CLCS_SUM_2008,Summary Of Recommendations Of The Commission On The Limits Of The Continental Shelf - North West Sumatra,https://www.un.org/depts/los/clcs_new/submissions_files/IDN08/Summary%20Recommendations%20for%20Indonesia.pdf,HTTPS,"HTML, PDF",Summary%20Recommendations%20for%20Indonesia,"Recommendations of the United Nations Commission on the Limits of the Continental Shelf (CLCS) regarding Indonesia's submission on the continental shelf beyond 200 nautical miles northwest of Sumatra. CLCS. The document provides technical recommendations, fixed point coordinates, and construction principles for delineating the outer limits of the continental shelf beyond 200 nautical miles based on Article 76 of UNCLOS. All information is presented in accordance with the availability of verifiable sources.","information, download",CLCS/IDN/2008,2026-04-24,2011-03-28,International Recommendation,docAvailable,domesticAdministrative,relativeMeasurement,Treaty,2011-03-28,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
UU16_2023,Undang-Undang (UU) Nomor 16 Tahun 2023 tentang Landas Kontinen,https://peraturan.bpk.go.id/Download/305777/UU%20Nomor%2016%20Tahun%202023.pdf,HTTPS,"HTML, PDF",UU Nomor 16 Tahun 2023,Undang-Undang (Law) regulating the sovereign rights and jurisdiction of Indonesia over the continental shelf in accordance with UNCLOS 1982. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 16 Tahun 2023,2026-04-24,2023-11-20,Law,docAvailable,domesticLegislativeInstrument,,Legislation,2023-11-20,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
UU43_2008,Undang-undang (UU) Nomor 43 Tahun 2008 tentang Wilayah Negara,https://peraturan.bpk.go.id/Details/39738/uu-no-43-tahun-2008,HTTPS,"HTML, PDF",UU Nomor 43 Tahun 2008,"Undang-Undang (Law) establishing the sovereignty, sovereign rights, and governmental authority over the territory of the Indonesian state. All information is presented in accordance with the availability of verifiable sources.","information, download",UU No. 43 Tahun 2008,2026-04-24,2008-11-06,Law,docAvailable,domesticLegislativeInstrument,,Legislation,2008-11-06,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
